"sensor_id","data1","data2","date_time","location","data3"
"EA000000DD740712","22.8","23.0","2018-04-03 22:30:17.360445","6","0.6"
"735410EC5CCA42C3","24.6","20.0","2018-04-03 22:40:16.794364","1","0.2"
"EC000000DCFC8E12","22.8","24.0","2018-04-03 22:40:17.069362","5","1.2"
"EA000000DD740712","22.7","23.0","2018-04-03 22:40:17.34836","6","0.6"
"735410EC5CCA42C3","24.5","20.0","2018-04-03 22:50:16.766896","1","0.1"
"EC000000DCFC8E12","22.9","23.0","2018-04-03 22:50:17.044895","5","0.7"
"EA000000DD740712","22.7","23.0","2018-04-03 22:50:17.362894","6","0.5"
"735410EC5CCA42C3","24.4","20.0","2018-04-03 23:00:16.754231","1","0.0"
"EC000000DCFC8E12","22.9","23.0","2018-04-03 23:00:17.078429","5","0.7"
"EA000000DD740712","22.7","22.0","2018-04-03 23:00:17.335628","6","0.0"
"735410EC5CCA42C3","24.4","20.0","2018-04-03 23:10:16.748154","1","0.0"
"EC000000DCFC8E12","22.9","23.0","2018-04-03 23:10:17.060953","5","0.7"
"EA000000DD740712","22.7","22.0","2018-04-03 23:10:17.309552","6","0.0"
"735410EC5CCA42C3","24.4","20.0","2018-04-03 23:20:16.761075","1","0.0"
"EC000000DCFC8E12","22.9","23.0","2018-04-03 23:20:17.041073","5","0.6"
"EA000000DD740712","22.7","22.0","2018-04-03 23:20:17.343471","6","0.0"
"735410EC5CCA42C3","24.5","20.0","2018-04-03 23:30:16.775782","1","0.1"
"EC000000DCFC8E12","22.8","23.0","2018-04-03 23:30:17.07898","5","0.6"
"EA000000DD740712","22.7","22.0","2018-04-03 23:30:17.334779","6","0.0"
"735410EC5CCA42C3","24.5","20.0","2018-04-03 23:40:16.747505","1","0.1"
"EC000000DCFC8E12","22.8","23.0","2018-04-03 23:40:17.061304","5","0.6"
"EA000000DD740712","22.7","23.0","2018-04-03 23:40:17.316504","6","0.5"
"735410EC5CCA42C3","24.6","20.0","2018-04-03 23:50:16.805977","1","0.1"
"EC000000DCFC8E12","22.8","23.0","2018-04-03 23:50:17.115401","5","0.6"
"EA000000DD740712","22.7","23.0","2018-04-03 23:50:17.395421","6","0.5"
"735410EC5CCA42C3","24.5","20.0","2018-04-04 00:00:16.835802","1","0.1"
"EC000000DCFC8E12","22.8","24.0","2018-04-04 00:00:17.131601","5","1.2"
"EA000000DD740712","22.7","23.0","2018-04-04 00:00:17.3968","6","0.5"
"735410EC5CCA42C3","24.5","21.0","2018-04-04 00:10:16.80936","1","0.8"
"EC000000DCFC8E12","22.8","24.0","2018-04-04 00:10:17.131358","5","1.2"
"EA000000DD740712","22.7","23.0","2018-04-04 00:10:17.433557","6","0.5"
"735410EC5CCA42C3","24.4","21.0","2018-04-04 00:20:16.814711","1","0.7"
"EC000000DCFC8E12","22.8","24.0","2018-04-04 00:20:17.117309","5","1.2"
"EA000000DD740712","22.7","23.0","2018-04-04 00:20:17.398106","6","0.5"
"735410EC5CCA42C3","24.3","21.0","2018-04-04 00:30:16.80325","1","0.6"
"EC000000DCFC8E12","22.8","24.0","2018-04-04 00:30:17.075249","5","1.2"
"EA000000DD740712","22.7","24.0","2018-04-04 00:30:17.364248","6","1.1"
"735410EC5CCA42C3","24.3","21.0","2018-04-04 00:40:16.809014","1","0.6"
"EC000000DCFC8E12","22.8","24.0","2018-04-04 00:40:17.114413","5","1.2"
"EA000000DD740712","22.7","24.0","2018-04-04 00:40:17.368412","6","1.1"
"735410EC5CCA42C3","24.2","21.0","2018-04-04 00:50:16.83056","1","0.5"
"EC000000DCFC8E12","22.8","24.0","2018-04-04 00:50:17.079559","5","1.2"
"EA000000DD740712","22.7","24.0","2018-04-04 00:50:17.364557","6","1.1"
"735410EC5CCA42C3","24.3","21.0","2018-04-04 01:00:16.771657","1","0.6"
"EC000000DCFC8E12","22.8","25.0","2018-04-04 01:00:17.097655","5","1.7"
"EA000000DD740712","22.7","24.0","2018-04-04 01:00:17.365654","6","1.1"
"735410EC5CCA42C3","24.5","22.0","2018-04-04 01:10:16.770984","1","1.4"
"EC000000DCFC8E12","22.7","25.0","2018-04-04 01:10:17.065382","5","1.7"
"EA000000DD740712","22.7","24.0","2018-04-04 01:10:17.327781","6","1.1"
"735410EC5CCA42C3","24.5","22.0","2018-04-04 01:20:16.800323","1","1.4"
"EC000000DCFC8E12","22.7","25.0","2018-04-04 01:20:17.076522","5","1.7"
"EA000000DD740712","22.7","24.0","2018-04-04 01:20:17.350921","6","1.1"
"735410EC5CCA42C3","24.5","22.0","2018-04-04 01:30:16.752897","1","1.4"
"EC000000DCFC8E12","22.7","25.0","2018-04-04 01:30:17.038895","5","1.7"
"EA000000DD740712","22.7","24.0","2018-04-04 01:30:17.333695","6","1.1"
"735410EC5CCA42C3","24.6","22.0","2018-04-04 01:40:16.781848","1","1.5"
