GEIST-V4-MIB,,,,
,,,,
OID name,OID,access,type,units
rpmSensorVoltageMinCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,21008,
rpmSensorVoltagePeakNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,11009,
rpmSensorVoltagePeakCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,21009,
rpmSensorCurrentNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,11010,
rpmSensorCurrentCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,21010,
rpmSensorRealPowerNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,11011,
rpmSensorRealPowerCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,21011,
rpmSensorApparentPowerNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,11012,
rpmSensorApparentPowerCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,21012,
rpmSensorPowerFactorNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,11013,
rpmSensorPowerFactorCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,21013,
,,,,
a2dSensorAvailNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,11104,
a2dSensorAvailCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,21104,
a2dSensorValueNOTIFY,1.3.6.1.4.1.21239.5.1.32767,6,11105,
a2dSensorValueCLEAR,1.3.6.1.4.1.21239.5.1.32767,6,21105,
,,,,
